AIRLINE,SOURCE,DESTINATION,NEAREST_AIRPORT_SOURCE,NEAREST_AIRPORT_DESTINATION,IATA_SOURCE,IATA_DESTINATION,ROUTE,DEP_TIME,ARRIVAL_TIME,DURATION,TOTAL_STOPS,ADDITIONAL_INFO,PRICE,DIRECT_CONNECTING
Air India,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,1 Long layover,8617,Connecting
Air India,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,No info,8617,Connecting
Air India,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,No info,8617,Connecting
IndiGo,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,Business class,8617,Connecting
IndiGo,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,In-flight meal not included,8617,Connecting
IndiGo,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,1 Long layover,8617,Connecting
Vistara,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,Business class,8617,Connecting
Vistara,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,No info,8617,Connecting
Vistara,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,Business class,8617,Connecting
SpiceJet,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,No info,8617,Connecting
SpiceJet,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,1 Long layover,8617,Connecting
SpiceJet,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,In-flight meal not included,8617,Connecting
GoAir,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,1 Long layover,8617,Connecting
GoAir,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,No info,8617,Connecting
GoAir,Gurugram,Chennai,Indira Gandhi International Airport,Chennai International Airport,DEL,MAA,DEL -> MAA,23:30:00.000,05:30:00.000,06:00,2,In-flight meal not included,8617,Connecting
Air India,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,No info,12927,Connecting
Air India,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,1 Long layover,12927,Connecting
Air India,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,No info,12927,Connecting
IndiGo,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,In-flight meal not included,12927,Connecting
IndiGo,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,No info,12927,Connecting
IndiGo,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,Business class,12927,Connecting
Vistara,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,1 Long layover,12927,Connecting
Vistara,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,In-flight meal not included,12927,Connecting
Vistara,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,1 Long layover,12927,Connecting
SpiceJet,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,1 Long layover,12927,Connecting
SpiceJet,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,1 Long layover,12927,Connecting
SpiceJet,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,1 Long layover,12927,Connecting
GoAir,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,1 Long layover,12927,Connecting
GoAir,Nagpur,Noida,Dr. Babasaheb Ambedkar International Airport,Indira Gandhi International Airport,NAG,DEL,NAG -> DEL,05:45:00.000,12:02:00.000,06:17,2,1 Long layover,12927,Connecting
